iter	Passed	Remaining
0	145	145444
1	159	79444
2	172	57314
3	185	46289
4	198	39480
5	211	35056
6	223	31677
7	229	28462
8	241	26604
9	253	25098
10	268	24096
11	280	23131
12	293	22278
13	307	21625
14	320	21020
15	332	20423
16	342	19815
17	357	19497
18	371	19165
19	386	18942
20	400	18671
21	414	18410
22	426	18110
23	438	17842
24	451	17611
25	462	17319
26	474	17102
27	509	17701
28	521	17453
29	533	17262
30	545	17053
31	557	16869
32	571	16749
33	587	16695
34	603	16636
35	633	16957
36	663	17261
37	674	17084
38	687	16932
39	700	16815
40	713	16680
41	726	16563
42	738	16444
43	750	16308
44	762	16185
45	773	16042
46	786	15940
47	798	15841
48	826	16044
49	838	15937
50	850	15824
51	888	16189
52	900	16086
53	910	15956
54	922	15855
55	935	15773
56	949	15701
57	960	15602
58	971	15500
59	1011	15849
60	1025	15778
61	1038	15710
62	1050	15622
63	1061	15526
64	1073	15440
65	1084	15344
66	1095	15261
67	1107	15184
68	1120	15112
69	1132	15041
70	1145	14982
71	1157	14916
72	1169	14855
73	1185	14839
74	1200	14801
75	1214	14763
76	1227	14712
77	1239	14654
78	1251	14593
79	1263	14529
80	1276	14483
81	1288	14429
82	1302	14394
83	1315	14348
84	1330	14324
85	1355	14404
86	1370	14383
87	1387	14377
88	1402	14360
89	1416	14322
90	1431	14303
91	1478	14588
92	1490	14540
93	1502	14480
94	1514	14427
95	1539	14498
96	1553	14457
97	1565	14412
98	1578	14364
99	1591	14323
100	1606	14302
101	1622	14280
102	1636	14248
103	1647	14197
104	1659	14148
105	1671	14101
106	1683	14046
107	1694	13996
108	1705	13944
109	1718	13905
110	1730	13856
111	1741	13810
112	1753	13763
113	1766	13728
114	1778	13684
115	1791	13651
116	1804	13614
117	1840	13760
118	1852	13712
119	1864	13669
120	1874	13616
121	1886	13574
122	1898	13534
123	1913	13521
124	1926	13483
125	1938	13443
126	1949	13398
127	1960	13358
128	1972	13320
129	1984	13278
130	1995	13237
131	2008	13209
132	2022	13183
133	2035	13152
134	2049	13132
135	2063	13107
136	2075	13076
137	2086	13034
138	2113	13094
139	2126	13059
140	2137	13024
141	2151	12998
142	2163	12963
143	2176	12936
144	2191	12921
145	2204	12896
146	2219	12878
147	2233	12856
148	2247	12834
149	2260	12808
150	2275	12792
151	2287	12763
152	2300	12734
153	2317	12731
154	2330	12704
155	2342	12674
156	2353	12639
157	2366	12611
158	2378	12579
159	2391	12553
160	2402	12518
161	2416	12499
162	2429	12474
163	2444	12458
164	2458	12439
165	2470	12414
166	2483	12387
167	2496	12362
168	2509	12339
169	2521	12309
170	2533	12282
171	2546	12259
172	2558	12230
173	2572	12212
174	2586	12195
175	2602	12186
176	2617	12171
177	2631	12152
178	2645	12133
179	2661	12125
180	2704	12237
181	2716	12208
182	2729	12184
183	2742	12160
184	2753	12130
185	2766	12106
186	2778	12081
187	2791	12054
188	2803	12028
189	2815	12001
190	2828	11978
191	2841	11958
192	2855	11940
193	2869	11923
194	2883	11902
195	2895	11877
196	2908	11855
197	2922	11839
198	2938	11827
199	2953	11814
200	2968	11801
201	2992	11823
202	3015	11838
203	3037	11853
204	3055	11848
205	3072	11841
206	3094	11856
207	3112	11853
208	3127	11838
209	3144	11830
210	3160	11819
211	3178	11813
212	3191	11793
213	3205	11775
214	3223	11768
215	3236	11745
216	3252	11736
217	3271	11736
218	3293	11744
219	3308	11728
220	3322	11711
221	3342	11713
222	3359	11706
223	3377	11702
224	3394	11691
225	3411	11684
226	3427	11672
227	3444	11663
228	3460	11651
229	3500	11717
230	3516	11707
231	3535	11703
232	3549	11685
233	3573	11697
234	3588	11680
235	3603	11664
236	3620	11655
237	3644	11669
238	3658	11650
239	3677	11645
240	3695	11639
241	3715	11638
242	3729	11618
243	3757	11643
244	3798	11704
245	3812	11686
246	3828	11670
247	3841	11649
248	3856	11630
249	3869	11607
250	3883	11588
251	3897	11569
252	3912	11552
253	3930	11545
254	3949	11539
255	3967	11531
256	3984	11520
257	4001	11506
258	4014	11484
259	4031	11473
260	4044	11450
261	4057	11429
262	4072	11411
263	4089	11402
264	4103	11381
265	4117	11361
266	4133	11348
267	4176	11407
268	4196	11404
269	4212	11389
270	4225	11366
271	4239	11347
272	4252	11325
273	4266	11305
274	4280	11286
275	4296	11269
276	4308	11245
277	4321	11224
278	4338	11211
279	4352	11191
280	4365	11171
281	4378	11148
282	4404	11160
283	4421	11146
284	4433	11122
285	4447	11102
286	4463	11089
287	4478	11071
288	4491	11049
289	4505	11030
290	4523	11022
291	4539	11007
292	4556	10995
293	4571	10977
294	4606	11008
295	4623	10996
296	4641	10986
297	4661	10980
298	4677	10965
299	4705	10979
300	4724	10972
301	4740	10956
302	4757	10943
303	4772	10926
304	4788	10910
305	4803	10893
306	4817	10874
307	4832	10857
308	4846	10838
309	4860	10818
310	4873	10797
311	4888	10778
312	4903	10761
313	4917	10743
314	4930	10722
315	4943	10700
316	4957	10681
317	4974	10667
318	4990	10654
319	5004	10634
320	5017	10613
321	5029	10589
322	5053	10592
323	5065	10569
324	5080	10551
325	5100	10544
326	5112	10521
327	5154	10559
328	5168	10541
329	5184	10526
330	5197	10505
331	5209	10482
332	5223	10463
333	5238	10444
334	5250	10423
335	5266	10407
336	5283	10393
337	5299	10379
338	5314	10362
339	5359	10403
340	5375	10387
341	5391	10373
342	5406	10356
343	5419	10334
344	5433	10315
345	5448	10298
346	5462	10279
347	5474	10257
348	5488	10237
349	5500	10215
350	5513	10194
351	5525	10171
352	5536	10148
353	5548	10124
354	5559	10101
355	5570	10077
356	5585	10060
357	5600	10043
358	5618	10032
359	5632	10013
360	5646	9994
361	5659	9973
362	5671	9952
363	5683	9929
364	5694	9907
365	5705	9884
366	5717	9861
367	5729	9839
368	5740	9816
369	5751	9793
370	5763	9771
371	5775	9749
372	5787	9728
373	5800	9708
374	5812	9687
375	5826	9669
376	5840	9651
377	5853	9631
378	5865	9610
379	5876	9588
380	5888	9567
381	5898	9543
382	5909	9520
383	5921	9498
384	5933	9478
385	5945	9457
386	5957	9437
387	5970	9417
388	5986	9402
389	5998	9382
390	6015	9369
391	6031	9355
392	6044	9335
393	6058	9318
394	6073	9302
395	6087	9284
396	6100	9265
397	6112	9245
398	6129	9232
399	6142	9213
400	6154	9193
401	6166	9173
402	6177	9151
403	6190	9132
404	6203	9114
405	6218	9097
406	6233	9082
407	6248	9065
408	6260	9046
409	6272	9025
410	6284	9006
411	6295	8984
412	6307	8964
413	6318	8944
414	6331	8925
415	6345	8907
416	6358	8889
417	6372	8872
418	6383	8852
419	6396	8833
420	6413	8821
421	6431	8808
422	6444	8790
423	6459	8775
424	6475	8760
425	6487	8741
426	6501	8724
427	6517	8710
428	6532	8694
429	6546	8677
430	6559	8660
431	6583	8655
